,scAGN_prediction,scAGN_precision_score,scAGN_recall_score,scAGN_f1_score,seurat_prediction,singleR_prediction,scmap-cluster_prediction,scmap-cell_prediction,chetah_prediction,Seurat_precision_score,Seurat_recall_score,Seurat_f1_score,SingleR_precision_score,SingleR_recall_score,SingleR_f1_score,Scmap-cluster_precision_score,Scmap-cluster_recall_score,Scmap-cluster_f1_score,Scmap-cell_precision_score,Scmap-cell_recall_score,Scmap-cell_f1_score,Chetah_precision_score,Chetah_recall_score,Chetah_f1_score
habib_brain,0.8915773353751915,0.8784160162768719,0.8915773353751915,0.8834629202886071,0.676263,0.618683,0.0,0.072894,0.624809,0.6969515092471521,0.6762633996937213,0.611030454981574,0.8425907963939642,0.6186830015313936,0.6176914058406691,0.0,0.0,0.0,0.9004648760330579,0.9015151515151515,0.8941060426518109,0.8681566394983942,0.6248085758039816,0.6615216831082882
voigt_retina,0.9898523985239852,0.9900705182364468,0.9898523985239852,0.9897719606313902,0.99262,0.987085,0.766605,0.935424,0.953875,0.9928135782689101,0.992619926199262,0.9926337916784947,0.987145100211749,0.9870848708487084,0.9870516283140877,0.9954019098945355,0.9952095808383233,0.9951565926315087,0.993103888481082,0.9931439764936337,0.992980959152613,0.9933441503484497,0.9538745387453874,0.9728297347141678
james_colon_immune,0.8857087975412985,0.8812614189077543,0.8857087975412985,0.8808347646429847,0.915386,0.786977,0.409335,0.351998,0.639551,0.9165802304430619,0.9153860929696505,0.9147398941289361,0.8321695280178183,0.7869765655013446,0.7806093271473283,0.8437386940452315,0.6387889688249401,0.6816109579279377,0.891937757078783,0.899607265586647,0.8868170267814939,0.8273637546501051,0.6395505186323472,0.7123607362116304
stewart_kidney,0.9317640047675804,0.9158296069386128,0.9317640047675804,0.9181068671315896,0.958085,0.798371,0.106873,0.635876,0.554331,0.950655102811975,0.9580850218514104,0.9521899003862162,0.9429759790948871,0.7983710766785856,0.8578811078999444,0.8752296662922704,0.8526148969889065,0.8452924361875378,0.9608501337105471,0.9714719271623672,0.9643702405436823,0.9542807429107446,0.5543305522447358,0.6846655820744983
menon_retina10xV3,0.9870569494225409,0.9840887854502826,0.9870569494225409,0.9852541408717737,0.976703,0.95679,0.205297,0.623855,0.793509,0.9765371982717387,0.9767025089605734,0.9763758104044571,0.9614223203273123,0.9567901234567902,0.9582616135951861,0.9298334602567327,0.9450045829514208,0.9344039816141068,0.8869524355329533,0.9383048817011082,0.9111516129852805,0.9174529619463673,0.7935085623257666,0.8448308129872928
byrd_gingiva,0.9472105578884225,0.9476979238295437,0.9472105578884225,0.9469458797054938,0.941212,0.909418,0.413917,0.457109,0.65207,0.9420613315909221,0.9412117576484703,0.9375716528158777,0.9240877484910028,0.9094181163767247,0.9129187244252106,0.8828936475683801,0.8767471410419314,0.8720674773876207,0.9114606558039912,0.9292682926829269,0.9151837862907752,0.8832848347303334,0.6520695860827834,0.7192626003563074
wang_rectum,0.8998946259220232,0.9013055422601588,0.8998946259220232,0.8994334843980372,0.903056,0.838778,0.770285,0.55216,0.727081,0.9053674225005028,0.9030558482613277,0.9028262545790683,0.8748467337908626,0.8387776606954689,0.8445659458837763,0.851798536046353,0.799781181619256,0.810119378776023,0.9280508990524506,0.9241622574955908,0.9240690186700686,0.8189702370057071,0.7270811380400422,0.7570622724641947
Wyler_LungCellLine_Calu3,0.909678475006136,0.908577626815182,0.909678475006136,0.9089601337018122,0.846192,,0.262211,0.728708,,0.8400699433694903,0.8461916059887098,0.8400275589509458,,,,0.6887022927991362,0.8298808907301916,0.7527290943229841,0.5789564079034237,0.7608918503331625,0.6575717955578982,,,
wang_colon,0.8881700554528651,0.8874504770953054,0.8881700554528651,0.8855296275448377,0.865065,,0.66451,0.42329,0.626617,0.86929488217214,0.8650646950092421,0.8614559823259973,,,,0.7882566356626344,0.7299492385786802,0.7440722151246889,0.8600459934389639,0.8403669724770643,0.8346915764750478,0.757708724703028,0.6266173752310537,0.654432552305517
Wyler_LungCellLine_H1299,0.8186845453655672,0.7935253038260749,0.8186845453655672,0.7948833908510886,0.807135,,0.417197,0.370608,,0.7844717719587966,0.8071351668787315,0.7907996090106267,,,,0.8387682390804929,0.873194714739322,0.8181126165864891,0.7415614316476966,0.757072878136559,0.7483302015967433,,,
wang_ileum,0.9218436873747496,0.9156315557641128,0.9218436873747496,0.9179669527723668,0.930528,,0.849699,0.609218,0.822311,0.9308618176268182,0.9305277221108884,0.9298274447890573,,,,0.8954505028997338,0.8772413793103448,0.8699035442622256,0.9258744071033115,0.9325153374233128,0.9251264684357109,0.8940169787610368,0.822311289245157,0.8514852478754289
smillie_colon_epithelial,0.805133517495396,0.8013823047814134,0.805133517495396,0.8005311063954982,0.795925,,0.364411,0.25,0.350368,0.7966646752714397,0.7959254143646409,0.7929534110792585,,,,0.6200676261792987,0.5768950437317785,0.5267777436002206,0.529426181103775,0.6186271717459413,0.5323268265737389,0.6192124750927951,0.3503683241252302,0.42728791014839
macparland18_adult_liver,0.9346281383230696,0.9372440068850616,0.9346281383230696,0.9351431857655098,0.916153,,0.683089,0.611559,0.859782,0.9187265910195944,0.916153481762198,0.9166787953041772,,,,0.9139877933746718,0.8945409429280397,0.8884707248299719,0.9461031044389796,0.9382267441860465,0.9328355246343224,0.9162094225338401,0.8597820937944103,0.8813946185114273
GSE124952,,,,,0.984615,0.975226,0.965611,0.97319,0.929751,0.9846733607830919,0.9846153846153847,0.9845005435332751,0.9755440655664027,0.9752262443438914,0.9749429296703904,0.9764259248499918,0.9762122598353157,0.9759950199273025,0.9895353695028338,0.9895330112721417,0.9894568867840076,0.9886390472531763,0.9297511312217195,0.9581593552577278
henry_prostate,,,,,0.946902,,0.615067,0.571324,0.808384,0.9467237942293297,0.9469015795868773,0.9466809980023648,,,,0.8948862170560229,0.8130420815933184,0.8324408281566587,0.9449408032987974,0.9347912524850894,0.937567574357098,0.9149269234667688,0.8083839611178615,0.8535796590779224
litvinukova20_heart,,,,,,0.089165,0.012677,0.05098,,,,,0.35150620314335457,0.08916451541210059,0.05938884241501431,0.07715471304060095,0.2777673721670725,0.1207648821236495,0.7250976394389037,0.7822665267576075,0.7345171683343859,,,
vallier_restricted_gallbladder,,,,,,0.682985,0.459125,0.269487,,,,,0.6885055881019527,0.6829847908745247,0.6828390313847759,0.6100701641566926,0.568904593639576,0.5700261645268028,0.7479623206119503,0.7470355731225297,0.7468462874026222,,,
lako_cornea,,,,,,,0.330146,0.07874,,,,,,,,0.4287958776151753,0.3986868915553543,0.39675370921304987,0.5371315439703366,0.5769230769230769,0.5445426799929534,,,
cheng18_skin,,,,,,,0.096772,0.102064,,,,,,,,0.2248275296559322,0.1643042523457776,0.16056040750649672,0.3294138322035025,0.37970253718285213,0.23056799730144523,,,
